"","experienceDuration","CVsPercentRespondRate","workFindTime","avgCommitTime","expType","softSkills","dupLines_lines","lines_files"
"1",60,100,1,8491.46614583333,0.25,0.25,0.00666271838910275,51.5572519083969
"2",48,100,1,8742.98722222222,0.125,0.6875,0.230505999908747,83.6526717557252
"3",54,30,6,186.111904761905,0.25,0,0.113810970162587,81.1159420289855
"4",48,20,2,799.242528735632,0.5,0.1875,0.0730746619635508,82.9756097560976
"5",42,20,8,21785.7179487179,0.125,0.125,0.0469218557064738,56.69
"6",36,70,6,9838.32307692308,0.375,0.25,0.102489939637827,50.0125786163522
"7",36,100,1,7115.80833333333,0.125,0.4375,0.0779445727482679,45.1826086956522
"8",60,50,6,9235.41964285714,0.125,0.125,0.0338213023725391,49.525
"9",24,60,12,7928.6375,0.125,0.375,0.0328638497652582,213
"10",30,100,1,37178.9875,0.125,0.1875,0.0351758793969849,74.625
"11",60,70,2,47311.1382716049,0.625,0.125,0.0518817204301075,44.0982218458933
"12",60,100,1,59880.0262411348,0.5,0.5625,0.0516090141890012,74.1099656357388
"13",42,20,2,18086.0481481481,0.125,0.5,0.307279544866822,120.84375
"14",60,80,1,7916.98472222222,0.375,0.1875,0.0615304165940387,63.043956043956
"15",48,40,18,8086.75517241379,0.25,0.1875,0.178681677864536,94.948275862069
"16",60,60,1,2552.14444444444,0.375,0.3125,0.0125859037877577,60.1634615384615
"17",60,60,1,14127.2777777778,0.25,0.5625,0.573197781885397,106.078431372549
"18",12,40,9,6723.98089430894,0.375,0,0.0105932203389831,34.5365853658537
"19",48,50,1,3181.16196581197,0.125,0.125,0.0201409869083585,53.1016042780749
"20",60,40,1,12329.1061403509,0.75,0.75,0.0274162281916367,40.1222222222222
"21",60,100,1,13444.375,0.25,0,0.0469221645570415,139.047993019197
"22",48,30,8,2796.04912280702,0.25,0.125,0.546898079763663,104.153846153846
"23",60,100,1,4603.96576576577,0.25,0.3125,0.0198776758409786,46.3829787234043
"24",54,0,1,6066.921875,0,0.4375,0.104651162790698,43
"25",60,20,4,12712.83811,0.375,0.3125,0.0551294343240652,208.6
"26",30,20,14,3629.85128205128,0.25,0.125,0.0253893026404875,56.8076923076923
